accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
1.384722,-1.126386,-9.607148
1.389286,-1.131395,-9.613079
1.386845,-1.141268,-9.619121
1.388297,-1.132601,-9.615006
1.397530,-1.132979,-9.604094
1.386929,-1.128503,-9.611750
1.390841,-1.138174,-9.613146
1.391376,-1.125940,-9.615416
1.391702,-1.136306,-9.608294
1.392935,-1.138964,-9.608761
1.392232,-1.133910,-9.612913
1.392120,-1.138130,-9.615964
1.390131,-1.132865,-9.611294
1.390502,-1.133281,-9.614933
1.389465,-1.137666,-9.610278
1.399847,-1.130560,-9.613154
1.392777,-1.136053,-9.620696
1.394557,-1.132683,-9.607955
1.393502,-1.130792,-9.614150
1.390846,-1.135829,-9.620155
1.394739,-1.135993,-9.620823
1.392316,-1.143568,-9.619983
1.389546,-1.138754,-9.603735
1.394642,-1.136226,-9.615703
1.397009,-1.136739,-9.618052
1.392584,-1.138708,-9.613586
1.398287,-1.138845,-9.620672
1.397318,-1.137726,-9.602476
1.398396,-1.137035,-9.609157
1.400356,-1.142314,-9.610385
1.388138,-1.125940,-9.611358
1.396151,-1.141218,-9.611491
1.395995,-1.134306,-9.612450
1.401086,-1.140978,-9.609686
1.393388,-1.140379,-9.610409
1.393733,-1.134154,-9.613672
1.397295,-1.140023,-9.608384
1.399381,-1.130953,-9.616788
1.390378,-1.138472,-9.616921
1.392594,-1.140592,-9.612983
1.394709,-1.133608,-9.604088
1.409014,-1.146694,-9.607966
1.404591,-1.140285,-9.601343
1.396636,-1.145147,-9.609710
1.403349,-1.130449,-9.610402
1.396571,-1.138830,-9.596794
1.401202,-1.131858,-9.610322
1.404009,-1.138944,-9.622578
1.400552,-1.135114,-9.608227
1.403252,-1.137958,-9.607157
1.403517,-1.137657,-9.612296
1.409329,-1.148385,-9.610400
1.389783,-1.140262,-9.610009
1.403934,-1.145379,-9.615643
1.405671,-1.149662,-9.598407
1.404752,-1.133649,-9.607497
1.397881,-1.130802,-9.613167
1.403576,-1.139655,-9.613625
1.399964,-1.146017,-9.605920
1.414069,-1.145818,-9.605566
1.399587,-1.145568,-9.607628
1.403554,-1.138458,-9.607065
1.411688,-1.141210,-9.607783
1.394431,-1.143959,-9.609128
1.398830,-1.143894,-9.615569
1.404986,-1.139031,-9.618457
1.406313,-1.138749,-9.608257
1.406114,-1.148919,-9.613991
1.392266,-1.140009,-9.605621
1.412149,-1.145477,-9.622044
1.406908,-1.140155,-9.615416
1.409080,-1.146637,-9.610899
1.410076,-1.146694,-9.613436
1.408509,-1.135166,-9.611879
1.402913,-1.145414,-9.616190
1.406486,-1.142724,-9.617139
1.402104,-1.142478,-9.617786
1.405300,-1.139231,-9.602385
1.410060,-1.146732,-9.610542
1.403499,-1.155085,-9.604441
1.409485,-1.151903,-9.606429
1.410836,-1.150871,-9.605728
1.406659,-1.152975,-9.617443
1.404385,-1.147605,-9.604157
1.410340,-1.144335,-9.607300
1.404723,-1.137953,-9.612654
1.413678,-1.148048,-9.603411
1.410359,-1.155479,-9.612936
1.406738,-1.141361,-9.623017
1.410085,-1.145992,-9.613626
1.410456,-1.146964,-9.605611
1.411875,-1.137237,-9.618269
1.419528,-1.154225,-9.608048
1.408630,-1.137948,-9.605665
1.404357,-1.147469,-9.610128
1.405399,-1.150788,-9.613095
1.410359,-1.150313,-9.612858
1.412004,-1.142184,-9.615713
1.414914,-1.149584,-9.604022
1.408576,-1.151836,-9.602718
1.413868,-1.143252,-9.607256
1.405906,-1.149782,-9.618671
1.408439,-1.145212,-9.612459
1.413500,-1.150812,-9.605554
1.410525,-1.149846,-9.606163
1.413880,-1.153418,-9.609657
1.410067,-1.157010,-9.604956
1.412655,-1.142291,-9.603062
1.409528,-1.151835,-9.598183
1.415351,-1.155732,-9.608896
1.411347,-1.145505,-9.609487
1.411706,-1.146102,-9.617136
1.414921,-1.155877,-9.595102
1.414794,-1.154644,-9.613937
1.416501,-1.144627,-9.614679
1.400899,-1.153629,-9.614576
1.409246,-1.152037,-9.609418
1.418036,-1.141499,-9.610129
1.410405,-1.152937,-9.604137
1.416858,-1.149293,-9.603543
1.411765,-1.142595,-9.607665
1.411270,-1.146897,-9.613135
1.412015,-1.151440,-9.608539
1.419467,-1.160707,-9.611580
1.410540,-1.149239,-9.610702
1.414911,-1.145167,-9.602892
1.418225,-1.153589,-9.610920
1.416115,-1.155624,-9.603180
1.418390,-1.144274,-9.614589
1.405931,-1.148701,-9.611885
1.432677,-1.153018,-9.609577
1.413960,-1.156692,-9.620620
1.412376,-1.154513,-9.607818
1.414811,-1.144458,-9.609597
1.411510,-1.143333,-9.604323
1.420322,-1.154316,-9.607911
1.403884,-1.154959,-9.623545
1.419065,-1.148841,-9.608565
1.424370,-1.149245,-9.612195
1.414043,-1.153019,-9.605711
1.417821,-1.154193,-9.611103
1.413293,-1.151850,-9.603954
1.415560,-1.145842,-9.610585
1.414686,-1.152205,-9.610805
