mag_x (uT),mag_y (uT),mag_z (uT)
28.091400,-2.095591,-15.778350
28.066803,-2.089904,-15.750762
28.065282,-2.079658,-15.785109
28.071781,-2.099713,-15.758826
28.067930,-2.096601,-15.759821
28.062726,-2.093867,-15.746250
28.064138,-2.110622,-15.748113
28.075776,-2.092952,-15.767799
28.084077,-2.091345,-15.759469
28.082334,-2.088491,-15.764561
28.069463,-2.109552,-15.754173
28.070380,-2.080155,-15.765005
28.094100,-2.089637,-15.780289
28.065018,-2.083135,-15.750721
28.082498,-2.096809,-15.754797
28.065187,-2.102908,-15.760315
28.073970,-2.066960,-15.764163
28.093299,-2.096184,-15.766333
28.069259,-2.101919,-15.762158
28.069155,-2.083036,-15.751356
28.074201,-2.077730,-15.762680
28.071635,-2.091661,-15.765665
28.075780,-2.106991,-15.744756
28.070846,-2.103762,-15.747774
28.075973,-2.096756,-15.750235
28.073191,-2.102376,-15.755676
28.069864,-2.099765,-15.757278
28.072124,-2.093616,-15.766723
28.062698,-2.093409,-15.752473
28.071248,-2.106671,-15.746221
28.075810,-2.104277,-15.764550
28.069680,-2.097721,-15.761954
28.054241,-2.120253,-15.753987
28.082147,-2.091948,-15.759394
28.068654,-2.092973,-15.769617
28.054873,-2.093640,-15.753433
28.074650,-2.095254,-15.752583
28.102870,-2.102914,-15.751193
28.078857,-2.095801,-15.743476
28.085168,-2.092779,-15.760346
28.084388,-2.087535,-15.760975
28.056464,-2.102077,-15.761015
28.082324,-2.096351,-15.773400
28.092253,-2.106256,-15.757204
28.082369,-2.081670,-15.748694
28.077379,-2.104146,-15.761284
28.078786,-2.075984,-15.764442
28.067283,-2.113551,-15.777078
28.072086,-2.080990,-15.759280
28.087365,-2.092299,-15.766439
