mag_x (uT),mag_y (uT),mag_z (uT)
28.063394,-5.013757,-15.096036
28.066265,-5.024024,-15.082316
28.071680,-4.992910,-15.085116
28.065166,-5.006047,-15.097690
28.068624,-5.011911,-15.107246
28.065857,-5.024341,-15.094219
28.086004,-5.013204,-15.100418
28.073265,-5.017714,-15.077743
28.066539,-5.039653,-15.087973
28.069382,-5.033637,-15.077177
28.065567,-5.032347,-15.089388
28.057305,-5.027011,-15.111036
28.043996,-5.023632,-15.084123
28.050560,-5.021584,-15.079096
28.071901,-5.017225,-15.068758
28.063682,-5.020381,-15.099448
28.072331,-5.040883,-15.101685
28.065556,-5.030941,-15.102454
28.056856,-5.026043,-15.085080
28.078663,-5.022826,-15.084070
28.082979,-5.025031,-15.108686
28.074941,-5.014059,-15.088504
28.072396,-5.026914,-15.076271
28.057902,-5.021547,-15.095560
28.063657,-5.037827,-15.101569
28.053430,-5.034061,-15.095154
28.061858,-5.034068,-15.098122
28.041059,-5.015433,-15.086326
28.068839,-5.029347,-15.112461
28.060787,-5.051090,-15.103566
28.070858,-5.038944,-15.091124
28.059051,-5.019453,-15.099651
28.066412,-5.042002,-15.087105
28.064818,-5.029285,-15.109523
28.074380,-5.029867,-15.098076
28.064622,-5.025903,-15.111505
28.093621,-5.041395,-15.084310
28.065914,-5.040380,-15.072600
28.072021,-5.038887,-15.099538
28.074473,-5.020533,-15.081583
28.079730,-5.032019,-15.084130
28.048097,-5.045887,-15.082296
28.070405,-5.035900,-15.100362
28.079423,-5.037129,-15.090814
28.057681,-5.046354,-15.079703
28.069726,-5.045415,-15.090011
